Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Prediction,MD Calculation,Error
C40_A40,CCCCCCCC[n+]1ccc(CCCC)cc1.CCCCCCCCOS(=O)(=O)[O-],18,0.7639751552795031,1-butyl-2-methylpyridinium,octyl sulfate,[986.91 959.09],"938.94, 962.88","[5.11, 0.39]"
C43_A43,C#CC(CC)C[P+](CC)(CCCC)CCCC.O=C([O-])[C@@H]1CCCN1,17,0.6781609195402298,triethyloctylammonium,L-prolinate,[999.78 925.23],"743.64, 946.90","[34.44, 2.29]"
C44_A44,C=NCC[NH+](CC(CC)C(C)CC)NC.O=C([O-])C(F)(F)F,15,0.5,triethyloctylammonium,trifluoroacetate,[1041.7  989.4],"634.13, 1077.23","[64.27, 8.15]"
C48_A48,PCCCCCCCCCCC[n+]1ccccc1.C[C@@H](O)[C@H](N)C(=O)[O-],18,0.8220338983050848,1-butylpyridinium,L-threoninate,[1072.36  998.06],"831.64, 1022.84","[28.95, 2.42]"
C49_A49,CCC(F)CC#CNC(N=O)(NC=O)[n+]1cc[nH]c1.COS(=O)(=O)[O-],19,0.5042016806722689,1-ethyl-2-methylpyridinium,methylsulfate,[1092.11 1002.47],"538.55, 1351.53","[102.79, 25.83]"
C60_A60,CCCCC(C)CC(C)CC[NH+](C)C=N.O=S(=O)([O-])C(F)(F)F,15,0.6125,"N,N,N-triethyldodecan-1-aminium",trifluoromethanesulfonate,[1029.73  974.25],"593.43, 1128.58","[73.52, 13.67]"
C63_A63,CCCCC(CC)C(C)CC[NH+](C)C=N.CCCCCCCCOS(=O)(=O)[O-],15,0.6172839506172839,"N,N,N-triethyldodecan-1-aminium",octyl sulfate,[966.69 995.07],"875.22, 981.62","[10.45, 1.37]"
C67_A67,CCCCON(C)C(=[NH+]C(Cl)CC)PCCCC.CCCCCCCCOS(=O)(=O)[O-],18,0.5128205128205128,1-butyl-3-methylimidazolium,octyl sulfate,[1099.51  999.76],"939.41, 1033.22","[17.04, 3.24]"
C71_A71,CCCC(CCC)CC[NH+](C)C=N.CS(=O)(=O)[O-],13,0.5949367088607594,"N,N,N-triethyldodecan-1-aminium",methanesulfonate,[ 951.88 1037.58],"516.34, 1050.56","[84.35, 1.24]"
C76_A76,CCCCC(CC)(CCC)CC[N+]1=C(S)CCC1.CCCCCCCCOS(=O)(=O)[O-],18,0.5132743362831859,"N,N,N-triethyldodecan-1-aminium",octyl sulfate,[ 989.43 1014.3 ],"949.06, 991.95","[4.25, 2.25]"
C78_A78,CCCCNC(CC(CF)CCF)[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,18,0.5837104072398189,1-butyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,[1008.96 1006.73],"764.33, 1369.65","[32.01, 26.5]"
C79_A79,CCCCCCCCc1cccc[n+]1CCCC.NCCCC[C@H](N)C(=O)[O-],18,0.7188612099644128,"1,2-diethylpyridinium",L-lysinate,[978.32 927.93],"866.73, 957.33","[12.87, 3.07]"
C80_A80,CCCC(C)CCC(CCC)(C(C)=O)[n+]1cc[nH]c1.NCCCC[C@H](N)C(=O)[O-],19,0.5530973451327433,1-butyl-3-methylimidazolium,L-lysinate,[1017.72  925.87],"944.96, 982.23","[7.7, 5.74]"
C82_A82,CCCCCCCC[n+]1cccc(C)c1CCC.CCCCCCCCOS(=O)(=O)[O-],18,0.6029850746268657,"1,2-diethylpyridinium",octyl sulfate,[981.36 925.43],"927.66, 969.42","[5.79, 4.54]"
C87_A87,CCCCCC(CCC)CC[NH+](C)C=N.COS(=O)(=O)[O-],15,0.6049382716049383,"N,N,N-triethyldodecan-1-aminium",methylsulfate,[1050.25  960.27],"631.25, 1054.81","[66.38, 8.96]"
C90_A90,CCCCCCCCCCC[n+]1ccccc1.CCCCCCCCOS(=O)(=O)[O-],17,0.8899082568807339,1-butylpyridinium,octyl sulfate,[1000.24  912.1 ],"906.82, 972.49","[10.3, 6.21]"
C96_A96,CCCCCCC[P+](CC)(CC)CCP.NCCCC[C@H](N)C(=O)[O-],15,0.8513513513513513,triethyloctylammonium,L-lysinate,[985.06 950.22],"832.87, 967.56","[18.27, 1.79]"
C97_A97,CCCCP(c1c[n+](CCC(C)S)cn1C)C(C)C.NCCCC[C@H](N)C(=O)[O-],19,0.5537190082644629,1-butyl-3-methylimidazolium,L-lysinate,[1085.29 1009.4 ],"859.20, 1038.71","[26.31, 2.82]"
C98_A98,CCCCC(CC)CCCCC[n+]1ccn(C)c1.CCCCCCCCOS(=O)(=O)[O-],18,0.9325842696629212,1-methyl-3-octyl-1H-imidazol-3-ium,octyl sulfate,[993.7  951.85],"909.84, 976.10","[9.22, 2.48]"
C03_A03,PCCCCCCCCCCC[n+]1ccccc1.CCCCCCCCOS(=O)(=O)[O-],18,0.8220338983050848,1-butylpyridinium,octyl sulfate,[1024.14  931.59],"904.44, 1008.01","[13.23, 7.58]"
C12_A12,CCCCCC(CCC)[n+]1ccn(CCC#P)c1.O=S(=O)([O-])C(F)(F)F,18,0.7127659574468085,1-butyl-3-methylimidazolium,trifluoromethanesulfonate,[ 981.28 1064.94],"753.98, 1140.84","[30.15, 6.65]"
C18_A18,C=Nc1n(CCCCCCCCCC)cc[n+]1C.CCCCCCCCOS(=O)(=O)[O-],18,0.6943005181347149,1-butyl-3-methylimidazolium,octyl sulfate,[1026.43  927.82],"896.94, 998.77","[14.44, 7.1]"
C19_A19,PCCCCCCCCCCC[n+]1ccccc1.CCCCCCCCOS(=O)(=O)[O-],18,0.8220338983050848,1-butylpyridinium,octyl sulfate,[1024.14  931.59],"1054.13, 1010.06","[2.85, 7.77]"
C06_A06,CCCCCCCC[P+](CC)(CC)CCS.NCCCC[C@H](N)C(=O)[O-],16,0.8648648648648649,triethyloctylammonium,L-lysinate,[1061.84 1032.61],"855.36, 981.66","[24.14, 5.19]"
C10_A10,CCCCCCCC[n+]1cccc(CCC)c1.C[C@@H](O)[C@H](N)C(=O)[O-],17,0.7565217391304347,N-octyl-3-methylpyridinium,L-threoninate,[1024.79  954.15],"740.67, 974.25","[38.36, 2.06]"
